VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,01/01/2024 00:54,01/01/2024 01:06,3,2.22,1,N,43,151,1,13.5,1,0.5,3.7,0,1,22.2,2.5,0
2,01/01/2024 00:42,01/01/2024 01:10,2,4.63,1,N,137,75,2,28.2,1,0.5,0,0,1,33.2,2.5,0
2,01/01/2024 00:12,01/01/2024 00:25,2,2.21,1,N,151,236,2,14.2,1,0.5,0,0,1,19.2,2.5,0
2,01/01/2024 00:30,01/01/2024 00:32,1,0.55,1,N,236,75,1,5.1,1,0.5,1.52,0,1,11.62,2.5,0
2,01/01/2024 00:33,01/01/2024 00:40,2,1.14,1,N,75,263,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,01/01/2024 00:41,01/01/2024 01:01,1,5.79,1,N,263,148,1,27.5,1,0.5,6.5,0,1,39,2.5,0
1,01/01/2024 00:12,01/01/2024 00:31,3,6.8,1,N,237,88,1,30.3,3.5,0.5,10,0,1,45.3,2.5,0
2,01/01/2024 00:16,01/01/2024 00:46,1,23,4,N,70,265,2,125.5,6,0.5,0,0,1,134.75,0,1.75
2,01/01/2024 00:28,01/01/2024 01:07,1,11.1,1,N,164,227,2,49.2,1,0.5,0,0,1,54.2,2.5,0
2,01/01/2024 00:07,01/01/2024 00:28,1,2.52,1,N,236,137,1,19.1,1,0.5,6.03,0,1,30.13,2.5,0
2,01/01/2024 00:36,01/01/2024 00:59,1,5.25,1,N,79,188,1,28.2,1,0.5,6.64,0,1,39.84,2.5,0
1,01/01/2024 00:37,01/01/2024 00:41,2,0.8,1,N,237,263,1,6.5,3.5,0.5,2.85,0,1,14.35,2.5,0
1,01/01/2024 00:52,01/01/2024 00:56,1,1.2,1,N,43,236,1,7.9,3.5,0.5,1,0,1,13.9,2.5,0
2,01/01/2024 00:24,01/01/2024 00:43,1,3.88,1,N,234,146,1,21.2,1,0.5,6.55,0,1,32.75,2.5,0
2,01/01/2024 00:53,01/01/2024 00:56,1,0.39,1,N,161,229,1,5.1,1,0.5,1,0,1,11.1,2.5,0
2,01/01/2024 00:03,01/01/2024 00:27,1,2.96,1,N,68,143,1,23.3,1,0.5,7.08,0,1,35.38,2.5,0
2,01/01/2024 00:30,01/01/2024 00:43,1,1.68,1,N,142,141,1,13.5,1,0.5,2,0,1,20.5,2.5,0
2,01/01/2024 00:49,01/01/2024 00:59,1,2.45,1,N,262,74,1,13.5,1,0.5,2.78,0,1,21.28,2.5,0
2,01/01/2024 00:43,01/01/2024 01:07,1,3.84,1,N,68,140,1,24,1,0.5,5.8,0,1,34.8,2.5,0
1,01/01/2024 00:41,01/01/2024 00:51,2,1,1,N,229,137,1,8.6,3.5,0.5,2,0,1,15.6,2.5,0
1,01/01/2024 00:43,01/01/2024 01:14,1,1.5,1,N,161,107,1,25.4,3.5,0.5,6.05,0,1,36.45,2.5,0
1,01/01/2024 00:24,01/01/2024 00:32,1,0.9,1,N,43,262,1,7.2,3.5,0.5,2.45,0,1,14.65,2.5,0
1,01/01/2024 00:33,01/01/2024 00:42,1,3.3,1,N,262,224,1,14.9,3.5,0.5,4,0,1,23.9,2.5,0
1,01/01/2024 00:45,01/01/2024 01:06,1,2.5,1,N,107,246,2,17,3.5,0.5,0,0,1,22,2.5,0
2,01/01/2024 00:39,01/01/2024 00:52,1,1.3,1,N,158,79,1,12.8,1,0.5,2,0,1,19.8,2.5,0
